0383
ANG_COM002
yyyy/MM/dd hh:mm:ss,Final Depth (mm),Final Flow (l/s),Final Velocity (m/s)
2021/12/03 08:50:00,96.14,97.58,2.67
2021/12/03 08:55:00,98.86,102.7,2.7
2021/12/03 09:00:00,97.32,99.63,2.68
2021/12/03 09:05:00,97.12,97.38,2.63
2021/12/03 09:10:00,98.27,101.4,2.69
2021/12/03 09:15:00,98.18,101.1,2.69
2021/12/03 09:20:00,96.86,99.21,2.69
2021/12/03 09:25:00,97.22,99.43,2.68
2021/12/03 09:30:00,97.2,99.84,2.69
2021/12/03 09:35:00,97.09,101.9,2.75
2021/12/03 09:40:00,97.35,99.12,2.67
2021/12/03 09:45:00,97.79,101.2,2.7
2021/12/03 09:50:00,98.24,103.2,2.74
2021/12/03 09:55:00,98.05,103.1,2.75
2021/12/03 10:00:00,97.85,103,2.75
2021/12/03 10:05:00,97.51,100.9,2.71
2021/12/03 10:10:00,98.99,102.5,2.69
2021/12/03 10:15:00,99.28,103.7,2.71
2021/12/03 10:20:00,98.94,103.8,2.73
2021/12/03 10:25:00,97.25,99.47,2.68
2021/12/03 10:30:00,96.85,98.82,2.68
2021/12/03 10:35:00,96.45,98.17,2.68
2021/12/03 10:40:00,96.31,96.61,2.64
2021/12/03 10:45:00,96.46,98.73,2.69
2021/12/03 10:50:00,97.15,100.7,2.72
2021/12/03 10:55:00,96.23,97.88,2.68
2021/12/03 11:00:00,96.12,97.69,2.68
2021/12/03 11:05:00,95.69,97.21,2.68
2021/12/03 11:10:00,95.87,97.44,2.68
2021/12/03 11:15:00,96.19,98.6,2.7
2021/12/03 11:20:00,95.95,96.58,2.66
2021/12/03 11:25:00,96.29,98.88,2.7
2021/12/03 11:30:00,95.42,97.55,2.7
2021/12/03 11:35:00,96.13,98.86,2.71
2021/12/03 11:40:00,96.84,99.44,2.7
2021/12/03 11:45:00,96.13,98.32,2.7
2021/12/03 11:50:00,95.73,97.19,2.68
2021/12/03 11:55:00,95.65,95.01,2.62
2021/12/03 12:00:00,95.45,95.36,2.64
2021/12/03 12:05:00,94.97,94.14,2.63
2021/12/03 12:10:00,94.99,93.64,2.61
2021/12/03 12:15:00,96.27,96.3,2.64
2021/12/03 12:20:00,95.76,96.45,2.66
2021/12/03 12:25:00,95.48,96.66,2.68
2021/12/03 12:30:00,95.2,96.86,2.69
2021/12/03 12:35:00,95.71,96.01,2.65
2021/12/03 12:40:00,96.09,95.81,2.63
2021/12/03 12:45:00,96.4,96.63,2.64
2021/12/03 12:50:00,96.35,97.26,2.66
2021/12/03 12:55:00,95.49,96.1,2.66
2021/12/03 13:00:00,94.88,94.39,2.64
2021/12/03 13:05:00,95.69,95.42,2.63
2021/12/03 13:10:00,95.87,97.79,2.69
2021/12/03 13:15:00,96.09,98.18,2.69
2021/12/03 13:20:00,96.18,100.2,2.74
2021/12/03 13:25:00,96.22,98.48,2.7
2021/12/03 13:30:00,96.2,95.65,2.62
2021/12/03 13:35:00,96.58,95.89,2.61
2021/12/03 13:40:00,95.67,95.89,2.65
2021/12/03 13:45:00,95.73,96.97,2.68
2021/12/03 13:50:00,95.15,95.11,2.65
2021/12/03 13:55:00,95.24,94.37,2.62
2021/12/03 14:00:00,95.35,96.4,2.68
2021/12/03 14:05:00,95.03,96.36,2.69
2021/12/03 14:10:00,95.42,95.14,2.64
2021/12/03 14:15:00,95.88,97.01,2.67
2021/12/03 14:20:00,95.49,94.94,2.63
2021/12/03 14:25:00,95.25,94,2.61
2021/12/03 14:30:00,94.79,94.27,2.64
2021/12/03 14:35:00,94.8,93.83,2.63
2021/12/03 14:40:00,94.62,93.57,2.63
2021/12/03 14:45:00,94.19,92.09,2.6
2021/12/03 14:50:00,95.2,95.47,2.66
2021/12/03 14:55:00,95.09,95.68,2.67
2021/12/03 15:00:00,93.65,91.11,2.6
2021/12/03 15:05:00,93.63,91.84,2.62
2021/12/03 15:10:00,94.39,93.66,2.64
2021/12/03 15:15:00,94.19,94.65,2.67
2021/12/03 15:20:00,94.79,95.05,2.66
2021/12/03 15:25:00,94.23,93.55,2.64
2021/12/03 15:30:00,95.39,95.67,2.65
