0383
STC_SAN024
yyyy/MM/dd hh:mm:ss,Final Depth (mm),Final Flow (l/s),Final Velocity (m/s)
2023/09/28 11:50:00,30.03,4.261568,1.44
2023/09/28 11:55:00,30.01,4.346147,1.47
2023/09/28 12:00:00,30.19,4.413802,1.48
2023/09/28 12:05:00,31.47,4.719057,1.49
2023/09/28 12:10:00,31.67,4.826483,1.51
2023/09/28 12:15:00,32.08,4.819273,1.48
2023/09/28 12:20:00,31.39,4.638547,1.47
2023/09/28 12:25:00,31.37,4.665783,1.48
2023/09/28 12:30:00,31.6,4.715471,1.48
2023/09/28 12:35:00,31.52,4.698187,1.48
2023/09/28 12:40:00,30.73,4.43686,1.45
2023/09/28 12:45:00,30.68,4.36533,1.43
2023/09/28 12:50:00,30.53,4.304027,1.42
2023/09/28 12:55:00,30.87,4.373787,1.42
2023/09/28 13:00:00,31.32,4.497717,1.43
2023/09/28 13:05:00,30.74,4.408341,1.44
2023/09/28 13:10:00,30.19,4.175218,1.4
2023/09/28 13:15:00,27.39,3.650613,1.41
2023/09/28 13:20:00,28.97,3.988739,1.42
2023/09/28 13:25:00,30.07,4.240151,1.43
2023/09/28 13:30:00,32.18,4.939221,1.51
2023/09/28 13:35:00,31.72,4.773431,1.49
2023/09/28 13:40:00,31.62,4.719792,1.48
2023/09/28 13:45:00,31.08,4.634608,1.49
2023/09/28 13:50:00,30.45,4.499016,1.49
2023/09/28 13:55:00,30.46,4.531355,1.5
2023/09/28 14:00:00,30.3,4.49704,1.5
2023/09/28 14:05:00,31.04,4.657043,1.5
2023/09/28 14:10:00,30.75,4.532934,1.48
2023/09/28 14:15:00,30.68,4.517965,1.48
2023/09/28 14:20:00,30.39,4.486233,1.49
2023/09/28 14:25:00,30.22,4.450016,1.49
2023/09/28 14:30:00,30.26,4.428616,1.48
2023/09/28 14:35:00,30.23,4.422267,1.48
2023/09/28 14:40:00,30,4.403148,1.49
2023/09/28 14:45:00,30.01,4.198318,1.42
2023/09/28 14:50:00,30.15,4.226743,1.42
2023/09/28 14:55:00,30.22,4.240955,1.42
2023/09/28 15:00:00,30.05,4.20644,1.42
2023/09/28 15:05:00,30.16,4.198993,1.41
2023/09/28 15:10:00,30.13,4.192945,1.41
2023/09/28 15:15:00,30.52,4.423157,1.46
2023/09/28 15:20:00,30.93,4.602314,1.49
2023/09/28 15:25:00,31.55,4.736457,1.49
2023/09/28 15:30:00,31.82,4.698634,1.46
2023/09/28 15:35:00,31.55,4.704669,1.48
2023/09/28 15:40:00,31.39,4.638547,1.47
2023/09/28 15:45:00,31.46,4.558597,1.44
2023/09/28 15:50:00,31.87,4.644779,1.44
2023/09/28 15:55:00,31.91,4.782442,1.48
2023/09/28 16:00:00,32.06,4.814909,1.48
2023/09/28 16:05:00,32.05,4.812727,1.48
2023/09/28 16:10:00,32.72,4.992414,1.49
2023/09/28 16:15:00,32.95,5.110919,1.51
2023/09/28 16:20:00,32.98,5.08377,1.5
2023/09/28 16:25:00,33.02,5.092701,1.5
2023/09/28 16:30:00,33.03,5.162865,1.52
2023/09/28 16:35:00,33.84,5.381808,1.53
2023/09/28 16:40:00,33.83,5.379509,1.53
2023/09/28 16:45:00,33.42,5.216548,1.51
2023/09/28 16:50:00,32.45,4.999324,1.51
2023/09/28 16:55:00,32.39,4.985968,1.51
2023/09/28 17:00:00,33.02,5.160604,1.52
2023/09/28 17:05:00,33,5.122157,1.51
2023/09/28 17:10:00,33.26,5.214897,1.52
2023/09/28 17:15:00,33.25,5.212636,1.52
2023/09/28 17:20:00,34.47,5.490684,1.52
2023/09/28 17:25:00,34.39,5.472251,1.52
2023/09/28 17:30:00,34.34,5.496729,1.53
2023/09/28 17:35:00,34.43,5.481467,1.52
2023/09/28 17:40:00,34.7,5.580149,1.53
2023/09/28 17:45:00,34.44,5.447694,1.51
2023/09/28 17:50:00,34.36,5.501326,1.53
2023/09/28 17:55:00,34.34,5.496729,1.53
2023/09/28 18:00:00,34.73,5.696657,1.56
2023/09/28 18:05:00,34.84,5.685985,1.55
2023/09/28 18:10:00,35.14,5.830749,1.57
2023/09/28 18:15:00,35.48,5.799366,1.54
2023/09/28 18:20:00,35.36,5.771108,1.54
2023/09/28 18:25:00,36.88,6.210886,1.56
2023/09/28 18:30:00,36.51,6.121551,1.56
2023/09/28 18:35:00,36.76,6.221405,1.57
2023/09/28 18:40:00,36.66,6.19711,1.57
2023/09/28 18:45:00,36.18,6.04216,1.56
2023/09/28 18:50:00,35.79,5.910501,1.55
2023/09/28 18:55:00,36.12,5.989085,1.55
